observation.state,observation.effort,action,episode_index,frame_index,timestamp,next.done,index,task_index
"[-0.00306796 -0.9664079   1.1888351  -0.00153398 -0.29145637  0.00153398
  0.01303571  0.00306796 -0.96947587  1.1873012  -0.00153398 -0.2899224
  0.00153398  0.00444132]","[   0.       139.88    -731.68       0.      -228.65001   -5.38
 -527.24     -64.56     220.58    -739.75       0.      -269.
   -2.69    -217.89   ]","[-0.01227185 -0.95567006  1.1428157  -0.00306796 -0.29299033 -0.01227185
  0.17778574  0.00613592 -0.9541361   1.1550876  -0.00153398 -0.3037282
  0.00306796  0.05877662]",0,0,0.0,False,0,0
"[-0.00153398 -0.9664079   1.1888351  -0.00153398 -0.2899224   0.00153398
  0.01524612  0.00460194 -0.96947587  1.1873012  -0.00153398 -0.2899224
  0.00153398  0.00486173]","[ -78.01      220.58     -989.92004     0.        -45.73      -80.700005
  750.51       -5.38      277.07     -841.97003     0.       -290.52002
    0.        812.38    ]","[-0.01227185 -0.9541361   1.1412817  -0.00460194 -0.2945243  -0.01380583
  0.15923887  0.00613592 -0.9495341   1.1535536  -0.00306796 -0.3037282
  0.00306796  0.04332091]",0,1,0.02,False,1,0
"[-0.00306796 -0.9664079   1.1873012  -0.00153398 -0.2899224  -0.00460194
  0.03825543  0.00306796 -0.9679419   1.1873012  -0.00153398 -0.29145637
  0.00153398  0.01883486]","[  -5.38  209.82 -874.25  -18.83 -129.12    0.    110.29    0.    312.04
 -863.49    0.   -263.62    0.   -607.94]","[-0.01227185 -0.9526021   1.1428157  -0.00460194 -0.2945243  -0.01380583
  0.13914643  0.00613592 -0.94493216  1.1520196  -0.00306796 -0.3037282
  0.00306796  0.0371386 ]",0,2,0.04,False,2,0
"[-0.00306796 -0.96487397  1.1826992  -0.00306796 -0.2899224  -0.01073787
  0.06711203  0.00460194 -0.9664079   1.1873012  -0.00153398 -0.29145637
  0.00153398  0.026207  ]","[ -21.52      131.81     -747.82        0.        -86.08       37.66
  121.05        0.        269.       -769.34        0.       -250.17
    0.         61.870003]","[-0.01380583 -0.9510681   1.1428157  -0.00306796 -0.2945243  -0.01380583
  0.12678182  0.0076699  -0.9387963   1.1474177  -0.00153398 -0.30526218
  0.00460194  0.03559308]",0,3,0.06,False,3,0
"[-0.00306796 -0.961806    1.1796312  -0.00306796 -0.2899224  -0.01227185
  0.08781098  0.00460194 -0.961806    1.1857672  -0.00153398 -0.29145637
  0.00153398  0.02573861]","[ -80.700005  118.36     -591.8         0.        -86.08        2.69
 -333.56       10.76      217.89     -772.03        0.       -287.83002
    2.69     -134.5     ]","[-0.01380583 -0.9495341   1.1428157  -0.00460194 -0.29299033 -0.01380583
  0.11596285  0.0076699  -0.93266034  1.1443497  -0.00153398 -0.30526218
  0.00460194  0.03559308]",0,4,0.08,False,4,0
"[-0.00460194 -0.961806    1.1765633  -0.00153398 -0.2899224  -0.01227185
  0.09080185  0.00460194 -0.95720404  1.1826992  -0.00153398 -0.29299033
  0.00153398  0.02248835]","[ -75.32     180.23001 -562.21       0.       -59.18       0.
 -392.74002    0.       223.27    -788.17004    0.      -279.76
    0.       -83.39   ]","[-0.01687379 -0.94646615  1.1443497  -0.00460194 -0.29299033 -0.01380583
  0.10823496  0.0076699  -0.92345643  1.1397477  -0.00306796 -0.30526218
  0.00613592  0.03559308]",0,5,0.1,False,5,0
"[-0.00613592 -0.960272    1.1734953  -0.00306796 -0.2899224  -0.01227185
  0.08367163  0.00460194 -0.9495341   1.1780972  -0.00153398 -0.29299033
  0.00613592  0.02202806]","[ -45.73      177.54001  -597.18        0.        -53.800003    0.
 -675.19        5.38      177.54001  -745.13        0.       -277.07
  -13.450001 -209.82    ]","[-0.01994175 -0.94339824  1.1458837  -0.00460194 -0.29299033 -0.01380583
  0.10668939  0.00920388 -0.9127186   1.1336118  -0.00153398 -0.30526218
  0.00613592  0.03559308]",0,6,0.12,False,6,0
"[-0.00920388 -0.958738    1.1734953  -0.00153398 -0.2899224  -0.01073787
  0.07498834  0.00460194 -0.94339824  1.1750293  -0.00153398 -0.29299033
  0.00613592  0.02202806]","[ -45.73      190.99     -648.29004     0.        -56.49        2.69
 -121.05       24.210001  260.93     -726.3         0.       -274.38
   -2.69      -37.66    ]","[-0.02454369 -0.9387963   1.1474177  -0.00306796 -0.29299033 -0.01227185
  0.10668939  0.01073787 -0.90198076  1.1274759  -0.00306796 -0.30526218
  0.00613592  0.03559308]",0,7,0.14,False,7,0
"[-0.01073787 -0.95720404  1.1734953  -0.00306796 -0.2899224  -0.01073787
  0.07102278  0.00460194 -0.9372623   1.1704273  -0.00153398 -0.29299033
  0.00460194  0.02202806]","[ -88.770004  199.06     -637.53        0.        -53.800003    0.
  -43.04       10.76      225.96     -750.51        0.       -287.83002
    0.        -48.420002]","[-0.02914564 -0.93266034  1.1489516  -0.00306796 -0.29299033 -0.01227185
  0.10668939  0.01227185 -0.8897089   1.12134    -0.00306796 -0.30526218
  0.00613592  0.03559308]",0,8,0.16,False,8,0
"[-0.01380583 -0.9541361   1.1734953  -0.00306796 -0.2883884  -0.01533981
  0.07102278  0.00460194 -0.9280584   1.1658255  -0.00153398 -0.2945243
  0.00460194  0.02202806]","[-118.36      255.55     -629.46        0.        -64.56        0.
  -16.14       16.14      220.58     -694.02        0.       -277.07
    0.        -48.420002]","[-0.03528156 -0.9280584   1.1504856  -0.00460194 -0.2945243  -0.01227185
  0.10668939  0.01533981 -0.87590307  1.1152041  -0.00306796 -0.30526218
  0.00613592  0.03559308]",0,9,0.18,False,9,0
