Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_palm,0.05885,-0.0011122,-0.001097,0,0,0,0.14615,0.00014447,-4.4918E-06,7.0438E-06,0.00015528,1.4962E-06,0.00027727,0,0,0,0,0,0,package://dexh13_left/meshes/left_palm.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_palm.STL,,左手掌-1,hand_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_thumb_link_0,0.000226891814931567,4.61207322333124E-11,2.19310208440264E-05,0,0,0,0.000219582291910095,5.09933811246146E-09,-2.46720800164735E-16,-1.09180999964771E-12,8.35687601155066E-10,-9.24475289056896E-18,5.36669725591883E-09,0,0,0,0,0,0,package://dexh13_left/meshes/left_thumb_link_0.STL,0.666666666666667,0.666666666666667,0.654901960784314,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_thumb_link_0.STL,,左拇指-1/P01H9M1-15-B万向节3-1,thumb_mcp_yaw_frame,thumb_mcp_yaw,left_thumb_joint_0,revolute,0.026,0.0365,-0.00025,0,0,1.5708,left_palm,0,0,1,1,2,-0.349,0.349,,,,,,,,
left_thumb_link_1,0.0204656655599568,-2.0924075797046E-05,0.00676379871256106,0,0,0,0.00513633275560094,6.05367966291247E-07,-2.25532129298426E-07,-5.21129476582283E-07,1.57488568485947E-06,-1.40400742942351E-07,1.20413428835107E-06,0,0,0,0,0,0,package://dexh13_left/meshes/left_thumb_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_thumb_link_1.STL,,左拇指-1/P01H9M1-29-B拇指一指节支架左-1,thumb_mcp_pitch_frame,thumb_mcp_pitch,left_thumb_joint_1,revolute,0,0,0,1.5708,0,0,left_thumb_link_0,0,0,1,1,2,0,1.5707,,,,,,,,
left_thumb_link_2,0.0291864110249785,-0.0186272609458337,-0.000218588201030342,0,0,0,0.0167101102599617,2.54287111913888E-06,8.65486625009416E-07,-1.60687167930168E-08,6.42439644397617E-06,5.59967790264127E-09,6.1137414868082E-06,0,0,0,0,0,0,package://dexh13_left/meshes/left_thumb_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_thumb_link_2.STL,,左拇指-1/拇指近端-1,thumb_pip_frame,thumb_pip,left_thumb_joint_2,revolute,0.039999,0.009,0.0215,1.5708,0,0,left_thumb_link_1,0,0,1,1,2,0,1.5707,,,,,,,,
left_thumb_link_3,0.00965025591910657,-0.0143115714322209,-4.71793911410497E-05,0,0,0,0.0166230921101523,1.43778726221032E-06,5.47785795327608E-07,-8.54368130583708E-09,1.63145704840018E-06,6.14239176025217E-09,1.46354788972157E-06,0,0,0,0,0,0,package://dexh13_left/meshes/left_thumb_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_thumb_link_3.STL,,左拇指-1/拇指远端-1,thumb_dip_frame,thumb_dip,left_thumb_joint_3,revolute,0.063556,-0.017141,0,0,0,0,left_thumb_link_2,0,0,1,1,2,0,1.5707,,,,,,,,
left_index_link_0,0.000226891814931574,-4.61207391722063E-11,-2.1931020844035E-05,0,0,0,0.000219582291910095,5.09933811246146E-09,2.46720758199522E-16,1.09180999964681E-12,8.35687601155067E-10,-9.24476916233652E-18,5.36669725591883E-09,0,0,0,0,0,0,package://dexh13_left/meshes/left_index_link_0.STL,0.666666666666667,0.666666666666667,0.654901960784314,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_index_link_0.STL,,3指手指-1/P01H9M1-15-B万向节3-1,index_mcp_yaw_frame,index_mcp_yaw,left_index_joint_0,revolute,0.122,0.0315,0.00175,0,0,0,left_palm,0,0,1,1,2,-0.349,0.349,,,,,,,,
left_index_link_1,0.0134968488801579,-0.0082164926480711,-0.00012423070599462,0,0,0,0.0112425437662123,8.24510934717321E-07,-1.61500825786472E-07,-6.77095684922023E-09,1.58702292208414E-06,-1.30201094756871E-09,1.28198165897553E-06,0,0,0,0,0,0,package://dexh13_left/meshes/left_index_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_index_link_1.STL,,3指手指-1/手指近端-1,index_mcp_pitch_frame,index_mcp_pitch,left_index_joint_1,revolute,0,0,0,1.5708,0,0,left_index_link_0,0,0,1,1,2,0,1.5707,,,,,,,,
left_index_link_2,0.0137857073448055,-0.00378219545864698,-4.81393113569845E-05,0,0,0,0.00609408297717352,4.0522265275195E-07,-2.63296727229235E-08,-6.22058929331475E-09,6.69894710350223E-07,1.14007707609166E-10,4.50586208179035E-07,0,0,0,0,0,0,package://dexh13_left/meshes/left_index_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_index_link_2.STL,,3指手指-1/手指中端-1,index_pip_frame,index_pip,left_index_joint_2,revolute,0.04,0,0,0,0,0,left_index_link_1,0,0,1,1,2,0,1.5707,,,,,,,,
left_index_link_3,0.010653045513104,-0.00782289409568123,8.38676496021512E-05,0,0,0,0.00843580676681889,4.20952824850423E-07,1.30934399182204E-07,6.1360002367218E-10,6.48349538589606E-07,1.48834792878924E-09,4.83378727303359E-07,0,0,0,0,0,0,package://dexh13_left/meshes/left_index_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_index_link_3.STL,,3指手指-1/手指远端-1,index_dip_frame,index_dip,left_index_joint_3,revolute,0.03,0,0,0,0,0,left_index_link_2,0,0,1,1,2,0,1.5707,,,,,,,,
left_middle_link_0,0.00022689181493158,-4.61207379914558E-11,-2.19310208440307E-05,0,0,0,0.000219582291910095,5.09933811246146E-09,2.46720758435753E-16,1.09180999964668E-12,8.35687601155067E-10,-9.24476779323469E-18,5.36669725591883E-09,0,0,0,0,0,0,package://dexh13_left/meshes/left_middle_link_0.STL,0.666666666666667,0.666666666666667,0.654901960784314,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_middle_link_0.STL,,3指手指-2/P01H9M1-15-B万向节3-1,middle_mcp_yaw_frame,middle_mcp_yaw,left_middle_joint_0,revolute,0.122,0,0.00175,0,0,0,left_palm,0,0,1,1,2,-0.349,0.349,,,,,,,,
left_middle_link_1,0.0134968503616547,-0.00821648268860979,-0.000124226906605018,0,0,0,0.0112425344934482,8.24510254406344E-07,-1.61500380674306E-07,-6.77055456985443E-09,1.58702188556853E-06,-1.30175978106446E-09,1.28198069231613E-06,0,0,0,0,0,0,package://dexh13_left/meshes/left_middle_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_middle_link_1.STL,,3指手指-2/手指近端-1,middle_mcp_pitch_frame,middle_mcp_pitch,left_middle_joint_1,revolute,0,0,0,1.5708,0,0,left_middle_link_0,0,0,1,1,2,0,1.5707,,,,,,,,
left_middle_link_2,0.0137857073448054,-0.00378219545864696,-4.81393113570762E-05,0,0,0,0.00609408297717341,4.05222652751945E-07,-2.63296727229229E-08,-6.22058929331833E-09,6.69894710350213E-07,1.14007707609885E-10,4.50586208179029E-07,0,0,0,0,0,0,package://dexh13_left/meshes/left_middle_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_middle_link_2.STL,,3指手指-2/手指中端-1,middle_pip_frame,middle_pip,left_middle_joint_2,revolute,0.04,0,0,0,0,0,left_middle_link_1,0,0,1,1,2,0,1.5707,,,,,,,,
left_middle_link_3,0.0106530455395141,-0.00782289361780017,8.38667763953919E-05,0,0,0,0.00843580796640825,4.20952878431164E-07,1.30934404789214E-07,6.13593472974387E-10,6.48349595003246E-07,1.48836393773238E-09,4.83378743243124E-07,0,0,0,0,0,0,package://dexh13_left/meshes/left_middle_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_middle_link_3.STL,,3指手指-2/手指远端-1,middle_dip_frame,middle_dip,left_middle_joint_3,revolute,0.03,0,0,0,0,0,left_middle_link_2,0,0,1,1,2,0,1.5707,,,,,,,,
left_ring_finger_proximal_1,0.000226891814931574,-4.61207461111002E-11,-2.19310208440285E-05,0,0,0,0.000219582291910096,5.09933811246146E-09,2.46720758889799E-16,1.09180999964651E-12,8.35687601155069E-10,-9.24476780390125E-18,5.36669725591883E-09,0,0,0,0,0,0,package://dexh13_left/meshes/left_ring_finger_proximal_1.STL,0.666666666666667,0.666666666666667,0.654901960784314,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_ring_finger_proximal_1.STL,,3指手指-4/P01H9M1-15-B万向节3-1,ring_mcp_yaw_frame,ring_mcp_yaw,left_ring_joint_0,revolute,0.122,-0.0315,0.00175,0,0,0,left_palm,0,0,1,1,2,-0.349,0.349,,,,,,,,
left_ring_link_1,0.0134968488664202,-0.00821649152910973,-0.000124231330444868,0,0,0,0.0112425427188638,8.24510845961029E-07,-1.6150078185395E-07,-6.77100269676269E-09,1.58702282394546E-06,-1.30205429036479E-09,1.28198156880371E-06,0,0,0,0,0,0,package://dexh13_left/meshes/left_ring_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_ring_link_1.STL,,3指手指-4/手指近端-1,ring_mcp_pitch_frame,ring_mcp_pitch,left_ring_joint_1,revolute,0,0,0,1.5708,0,0,left_ring_finger_proximal_1,0,0,1,1,2,0,1.5707,,,,,,,,
left_ring_link_2,0.0137857073448057,-0.00378219545864726,-4.81393113574632E-05,0,0,0,0.00609408297717322,4.05222652751932E-07,-2.63296727229261E-08,-6.22058929333323E-09,6.6989471035019E-07,1.14007707611113E-10,4.50586208179018E-07,0,0,0,0,0,0,package://dexh13_left/meshes/left_ring_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_ring_link_2.STL,,3指手指-4/手指中端-1,ring_pip_frame,ring_pip,left_ring_joint_2,revolute,0.04,0,0,0,0,0,left_ring_link_1,0,0,1,1,2,0,1.5707,,,,,,,,
left_ring_link_3,0.010653,-0.0078229,8.3868E-05,0,0,0,0.0084358,4.2095E-07,1.3093E-07,6.136E-10,6.4835E-07,1.4883E-09,4.8338E-07,0,0,0,0,0,0,package://dexh13_left/meshes/left_ring_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexh13_left/meshes/left_ring_link_3.STL,,3指手指-4/手指远端-1,ring_dip_frame,ring_dip,left_ring_joint_3,revolute,0.03,0,0,0,0,0,left_ring_link_2,0,0,1,1,2,0,1.5707,,,,,,,,
