Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_palm,0.058857,0.0011395,-0.0010923,0,0,0,0.14602,0.00014434,4.5222E-06,7.0377E-06,0.00015522,-1.5057E-06,0.00027709,0,0,0,0,0,0,package://dexh13_right/meshes/right_palm.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexh13_right/meshes/right_palm.STL,,右手掌-1,hand_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_thumb_link_0,0.00022689,-4.6121E-11,-2.1931E-05,0,0,0,0.00021958,5.0993E-09,2.4672E-16,1.0918E-12,8.3569E-10,-9.2448E-18,5.3667E-09,0,0,0,0,0,0,package://dexh13_right/meshes/right_thumb_link_0.STL,0.66667,0.66667,0.6549,1,0,0,0,0,0,0,package://dexh13_right/meshes/right_thumb_link_0.STL,,右拇指-2/P01H9M1-15-B万向节3-1,thumb_mcp_yaw_frame,thumb_mcp_yaw,right_thumb_joint_0,revolute,0.026,-0.0365,-0.00025,3.1416,0,-1.5708,right_palm,0,0,1,1,2,-0.349,0.349,,,,,,,,
right_thumb_link_1,0.020619,0.00016609,-0.0068342,0,0,0,0.0051746,6.2523E-07,-2.4757E-07,5.2859E-07,1.5946E-06,1.4958E-07,1.2368E-06,0,0,0,0,0,0,package://dexh13_right/meshes/right_thumb_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexh13_right/meshes/right_thumb_link_1.STL,,右拇指-2/P01H9M1-28-B拇指一指节支架-1,thumb_mcp_pitch_frame,thumb_mcp_pitch,right_thumb_joint_1,revolute,0,0,0,-1.5708,0,0,right_thumb_link_0,0,0,1,1,2,0,1.5707,,,,,,,,
right_thumb_link_2,0.02918645206419,-0.0186272539522961,-0.000218603467386669,0,0,0,0.0167100811373488,2.5428679239645E-06,8.65483361519591E-07,-1.60738702947654E-08,6.42438168579997E-06,5.60119113005685E-09,6.11372810219796E-06,0,0,0,0,0,0,package://dexh13_right/meshes/right_thumb_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_right/meshes/right_thumb_link_2.STL,,右拇指-2/拇指近端-1,thumb_pip_frame,thumb_pip,right_thumb_joint_2,revolute,0.039999,0.009,-0.0215,-1.5708,0,0,right_thumb_link_1,0,0,1,1,2,0,1.5707,,,,,,,,
right_thumb_link_3,0.0099378,-0.0145,-4.7179E-05,0,0,0,0.016623,1.4378E-06,5.4779E-07,-8.5437E-09,1.6315E-06,6.1424E-09,1.4635E-06,0,0,0,0,0,0,package://dexh13_right/meshes/right_thumb_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexh13_right/meshes/right_thumb_link_3.STL,,右拇指-2/拇指远端-1,thumb_dip_frame,thumb_dip,right_thumb_joint_3,revolute,0.063268,-0.016953,0,0,0,0,right_thumb_link_2,0,0,1,1,2,0,1.5707,,,,,,,,
right_index_link_0,0.00022689,4.6121E-11,2.1931E-05,0,0,0,0.00021958,5.0993E-09,-2.4672E-16,-1.0918E-12,8.3569E-10,-9.2447E-18,5.3667E-09,0,0,0,0,0,0,package://dexh13_right/meshes/right_index_link_0.STL,0.66667,0.66667,0.6549,1,0,0,0,0,0,0,package://dexh13_right/meshes/right_index_link_0.STL,,3指手指-4/P01H9M1-15-B万向节3-1,index_mcp_yaw_frame,index_mcp_yaw,right_index_joint_0,revolute,0.122,-0.0315,0.00175,-3.1416,0,0,right_palm,0,0,1,1,2,-0.349,0.349,,,,,,,,
right_index_link_1,0.013497,-0.0082165,-0.00012423,0,0,0,0.011243,8.2451E-07,-1.615E-07,-6.771E-09,1.587E-06,-1.3021E-09,1.282E-06,0,0,0,0,0,0,package://dexh13_right/meshes/right_index_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexh13_right/meshes/right_index_link_1.STL,,3指手指-4/手指近端-1,index_mcp_pitch_frame,index_mcp_pitch,right_index_joint_1,revolute,0,0,0,-1.5708,0,0,right_index_link_0,0,0,1,1,2,0,1.5707,,,,,,,,
right_index_link_2,0.0137857073448056,-0.00378219545864722,-4.81393113573522E-05,0,0,0,0.0060940829771732,4.05222652751935E-07,-2.63296727229242E-08,-6.2205892933295E-09,6.69894710350192E-07,1.14007707610596E-10,4.5058620817902E-07,0,0,0,0,0,0,package://dexh13_right/meshes/right_index_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dexh13_right/meshes/right_index_link_2.STL,,3指手指-4/手指中端-1,index_pip_frame,index_pip,right_index_joint_2,revolute,0.04,0,0,0,0,0,right_index_link_1,0,0,1,1,2,0,1.5707,,,,,,,,
right_index_link_3,0.010653,-0.0078229,8.3867E-05,0,0,0,0.0084358,4.2095E-07,1.3093E-07,6.1359E-10,6.4835E-07,1.4884E-09,4.8338E-07,0,0,0,0,0,0,package://dexh13_right/meshes/right_index_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexh13_right/meshes/right_index_link_3.STL,,3指手指-4/手指远端-1,index_dip_frame,index_dip,right_index_joint_3,revolute,0.03,0,0,0,0,0,right_index_link_2,0,0,1,1,2,0,1.5707,,,,,,,,
right_middle_link_0,0.00022689,4.6121E-11,2.1931E-05,0,0,0,0.00021958,5.0993E-09,-2.4672E-16,-1.0918E-12,8.3569E-10,-9.2447E-18,5.3667E-09,0,0,0,0,0,0,package://dexh13_right/meshes/right_middle_link_0.STL,0.66667,0.66667,0.6549,1,0,0,0,0,0,0,package://dexh13_right/meshes/right_middle_link_0.STL,,3指手指-2/P01H9M1-15-B万向节3-1,middle_mcp_yaw_frame,middle_mcp_yaw,right_middle_joint_0,revolute,0.122,0,0.00175,-3.1416,0,0,right_palm,0,0,1,1,2,-0.349,0.349,,,,,,,,
